,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details
42,Kia Carens,CRDi VGT,1493 cc,Automatic,Diesel,N/A,45 Litres,McPherson Strut with coil spring,Coupled Torsion Beam Axle with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'HD Touchscreen Navigation with Next Generation Kia Connect, Smart Pure Air Purifier with Virus and Bacteria Protection, Multiple Power Sockets with 5 C-Type Ports, BOSE Premium Sound System with 8 Speakers, Wireless Charger with Cooling Function'}"
43,Toyota Fortuner,2.8 L Diesel engine,2755 cc,Automatic,Diesel,N/A,80 Litres,Double Wishbone,4-Link With Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Premium JBL Speakers (11 Speakers Including Subwoofer & Amplifier)'}"
44,Toyota Innova Crysta,2.4L Diesel Engine,2393 cc,Manual,Diesel,N/A,55 Litres,Double Wishbone With Torsion Bar,4-Link with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
45,Toyota Land Cruiser 300,F33A-FTV,3346 cc,Automatic,Diesel,11 kmpl,110 Litres,Double Wishbone Independent,4-Link Rigid,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Audio System with 14U JBL Speakers,Wireless Charger for Front Seats'}"
46,Toyota Urban Cruiser Hyryder,M15D-FXE,1490 cc,Automatic,Petrol,27.97 kmpl,45 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'New Smart Playcast Touchscreen, Toyota i-Connect, Arkamys Sound tuning, Premium sound with special speaker'}"
47,Toyota Taisor,1.0L K-Series Turbo,998 cc,Automatic,Petrol,20 kmpl,37 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'ARKAMYS Tuning (Surround Sense),Android Auto & Apple CarPlay (Wireless)'}"
48,Toyota Hilux,2.8 L Diesel Engine,2755 cc,Automatic,Diesel,N/A,80 Litres,Double wishbone,Leaf spring rigid axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
49,Toyota Camry,2.5L Dynamic Force Engine,2487 cc,Automatic,Petrol,N/A,50 Litres,Macpherson Strut,Double Wishbone,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
50,Toyota Vellfire,2.5-litre a Hybrid,2487 cc,Automatic,Petrol,N/A,60 Litres,Macpherson Strut,Double Wishbone,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
51,Toyota Rumion,K15C HYBRID,1462 cc,Automatic,Petrol,20.11 kmpl,45 Litres,Macpherson Strut & Coil Spring,Torsion Beam & Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Smartplay Cast Touch Screen Infotainment Sytem With Arkamys Surround Sense, Android Auto & Apple CarPlay (Wireless)'}"
52,Toyota Fortuner Legender,2.8 L Diesel engine,2755 cc,Automatic,Diesel,N/A,80 Litres,Double Wishbone,4-Link With Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '""Premium JBL Speakers (11 Speakers Including Subwoofer & Amplifier)""'}"
53,Toyota Glanza,1.2 L Petrol Engine,1197 cc,Automatic,Petrol,22.94 kmpl,37 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Toyota i-Connect, Hey Toyota, Smart Playcast Pro S, Premium sound system (Arkamys), Hey Siri Voice Assistance Compatibilit'}"
54,Toyota Innova Hycross,2.0 TNGA 5th Generation in-line VVTi,1987 cc,Automatic,Petrol,23.24 kmpl,52 Litres,MacPherson Strut,Semi-independent Torsion beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'Display Audio, Capacitive Touch, Flick & Drag Function, Wireless Apple Car Play, JBL Premium Audio System'}"
55,Hyundai Creta,1.5L T-GDi,1482 cc,Automatic,Petrol,18.4 kmpl,50 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto', 'Tweeters': '2', 'Additional Features': '10.25 inch HD audio video navigation system, JioSaavan music streaming, Hyundai Bluelink, Bose premium sound 8 speaker system with front central speaker & sub-woofer'}"
56,Hyundai Alcazar,1.5 l diesel CRDi engine,1493 cc,Automatic,Diesel,23.8 kmpl,50 Litres,McPherson strut with coil spring,Coupled torsion beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'HD touchscreen Infotainment system, Advanced Hyundai Bluelink (connected-car technology), Bose premium sound system (8 speakers)'}"
57,Hyundai Venue,Kappa 1.0L Turbo,998 cc,Automatic,Petrol,18.31 kmpl,45 Litres,McPherson strut with coil spring,Coupled torsion beam axle with coil spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'infotainment system with Bluelink, Ambient sounds of nature, Multiple regional language'}"
58,Hyundai Exter,1.2 l Kappa,1197 cc,Automatic,Petrol,19.2 kmpl,37 Litres,McPherson strut,Coupled torsion beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Infotainment system(Multiple regional UI language),Infotainment system(Ambient sounds of nature)'}"
59,Hyundai Verna,1.5L Turbo GDi Petrol,1482 cc,Automatic,Petrol,20.6 kmpl,45 Litres,Mcpherson strut with coil spring,Coupled Torsion Beam Axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Bose premium sound 8 speaker system'}"
60,Hyundai i20,1.2 l Kappa,1197 cc,Automatic,Petrol,20 kmpl,37 Litres,McPherson strut,Coupled torsion beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'Ambient sounds of nature,Bose premium 7 speaker system'}"
61,Hyundai Aura,1.2 L Bi-Fuel,1197 cc,Manual,CNG,22 km/kg,65 Litres,McPherson strut,Coupled torsion beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
62,Hyundai Tucson,2.0 L D CRDi I4,1997 cc,Automatic,Diesel,N/A,54 Litres,McPherson strut,Multi-link with coil spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Hyundai Bluelink connected car technology,Bose premium sound 8 speaker system(Front & rear door speakers,Front central speaker,Front tweeters,Sub-woofer,Amplifier),'}"
63,Hyundai Creta N Line,1.5l Turbo GDi,1482 cc,Automatic,Petrol,18.2 kmpl,50 Litres,McPherson strut with coil spring,Coupled torsion beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'Bose premium sound 8 speaker system'}"
64,Hyundai Kona Electric,Lithium-Ion,100 kW,Automatic,Electric,452 km,39.2 kWh,McPherson strut type,Multi - link,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'N/A'}"
65,Hyundai Venue N Line,Kappa 1.0 l turbo GDi,998 cc,Automatic,Petrol,18 kmpl,45 Litres,McPherson strut with coil spring,Coupled torsion beam axle with coil spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Multiple regional language,Ambient sounds of nature,Hyundai Bluelink connected car technology,'}"
66,Hyundai Grand i10 Nios,1.2 l Kappa,1197 cc,Automatic,Petrol,16 kmpl,37 Litres,MacPherson suspension,Rear twist beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
